P,E,N,D
02C,651325,7536365,3.83
02N1,651331,7536463,4.68
03C,651225,7536370,2.77
03N1,651231,7536468,2.35
03S1,651220,7536269,3.89
03SX,651217,7536220,3.1
04C,651126,7536376,1.6
04N1,651131,7536475,1.29
04S1,651120,7536275,2.19
04S2,651114,7536176,1.87
04SX,651111,7536126,3.36
05C,651026,7536381,1.35
05N1,651031,7536481,2.03
05N2,651037,7536582,1.8
05S1,651020,7536282,1.68
05S2,651014,7536183,2.46
05S3,651009,7536081,3.46
06C,650926,7536387,1.19
06N1,650931,7536485,1.85
06N2,650937,7536586,4.4
06S1,650920,7536287,0.75
06S2,650914,7536187,0.98
06S3,650909,7536086,2.53
06SX,650906,7536038,3.45
07C,650827,7536393,0.97
07N1,650831,7536493,1.65
07N2,650837,7536592,2.78
07S1,650820,7536293,0.89
07S2,650814,7536193,0.61
07S3,650808,7536092,1.65
07SX,650806,7536043,2.35
08C,650727,7536399,1.28
08N1,650732,7536497,1.65
08N2,650738,7536598,2.39
08N3,650744,7536697,1.95
08S1,650721,7536298,1.34
08S2,650715,7536199,1.13
08S3,650709,7536099,1.77
08SX,650706,7536050,3.08
09C,650626,7536404,1.38
09N1,650632,7536504,0.78
09N2,650638,7536604,1.67
09N3,650644,7536703,1.65
09S1,650621,7536303,2.48
09S2,650615,7536205,3.89
09S3,650609,7536104,3.47
09S4,650604,7536005,2.29
10C,650526,7536410,0.97
10N1,650532,7536510,0.48
10N2,650538,7536610,0.64
10N3,650544,7536708,2.1
10S1,650521,7536310,1.2
10S2,650515,7536211,2.11
10S3,650509,7536110,2.37
10S4,650504,7536012,2.09
11C,650426,7536417,0.7
11N1,650432,7536516,0.53
11N2,650439,7536616,1.01
11N3,650443,7536715,1.99
11NX,650447,7536765,3.11
11S1,650421,7536316,0.47
11S2,650415,7536216,0.59
11S3,650409,7536117,1.02
11S4,650404,7536016,0.99
12C,650327,7536423,0.76
12N1,650333,7536522,0.54
12N2,650339,7536621,0.78
12N3,650344,7536721,1.09
12NX,650347,7536771,1.53
12S1,650322,7536321,0.62
12S2,650316,7536221,0.4
12S3,650310,7536122,1
12S4,650305,7536021,1.12
12SX,650301,7535972,2.06
13C,650227,7536427,1.08
13N1,650233,7536527,0.62
13N2,650239,7536628,0.56
13N3,650244,7536725,0.94
13NX,650247,7536776,1.33
13S1,650222,7536326,1.06
13S2,650216,7536227,0.98
13S3,650210,7536128,0.94
13S4,650204,7536027,1.44
13SX,650201,7535979,2.28
14C,650127,7536432,1.17
14N1,650133,7536533,0.98
14N2,650139,7536633,0.83
14N3,650144,7536732,1.78
14NX,650148,7536782,2.95
14S1,650121,7536334,1.39
14S2,650116,7536233,1.16
14S3,650110,7536133,1.09
14S4,650104,7536034,1.2
14SX,650101,7535984,1.9
15C,650027,7536439,1.18
15N1,650033,7536539,1.2
15N2,650039,7536639,1.21
15N3,650044,7536737,1.93
15NX,650048,7536788,2.67
15S1,650021,7536339,1.23
15S2,650016,7536239,1.32
15S3,650010,7536139,1.55
15S4,650004,7536039,1.36
15S5,649999,7535939,2.18
16C,649928,7536444,1.4
16N1,649934,7536545,1.26
16N2,649939,7536642,1.52
16N3,649945,7536743,2.23
16NX,649948,7536793,2.73
16S1,649922,7536344,1.4
16S2,649917,7536245,1.41
16S3,649910,7536145,1.68
16S4,649904,7536045,1.6
16S5,649899,7535945,1.74
16SX,649896,7535894,1.93
17C,649828,7536449,1.58
17N1,649834,7536550,1.57
17N2,649839,7536650,1.87
17N3,649845,7536749,2.87
17S1,649822,7536350,1.4
17S2,649817,7536251,1.15
17S3,649811,7536151,1.28
17S4,649805,7536050,1.26
17S5,649800,7535951,1.86
17SX,649796,7535901,2.09
18C,649728,7536455,1.76
18N1,649734,7536556,1.91
18N2,649739,7536655,1.98
18N3,649745,7536755,3.36
18S1,649722,7536356,1.32
18S2,649717,7536256,1.28
18S3,649711,7536157,1.17
18S4,649705,7536056,1.09
18S5,649699,7535956,1.64
18SX,649696,7535906,2.31
19C,649628,7536460,2.05
19N1,649634,7536561,2.21
19N2,649639,7536661,2.77
19S1,649622,7536361,1.55
19S2,649617,7536261,1.45
19S3,649611,7536162,1.51
19S4,649605,7536062,1.45
19S5,649599,7535962,2.03
19SX,649597,7535912,2.6
20C,649529,7536467,2
20N1,649535,7536567,2.18
20N2,649539,7536666,3.99
20S1,649522,7536367,1.75
20S2,649516,7536267,1.67
20S3,649511,7536168,1.41
20S4,649505,7536068,1.49
20S5,649499,7535968,2.71
21C,649429,7536473,1.97
21N1,649435,7536573,2.18
21N2,649440,7536672,3.4
21S1,649423,7536373,1.47
21S2,649417,7536274,1.53
21S3,649412,7536174,1.53
21S4,649406,7536074,1.65
21S5,649400,7535974,1.97
22C,649329,7536478,2.55
22N1,649334,7536579,2.44
22N2,649340,7536679,0.74
22S1,649323,7536378,2.04
22S2,649317,7536279,2.48
22S3,649312,7536179,2.69
22S4,649306,7536079,3.66
23C,649229,7536483,3.08
23N1,649234,7536584,2.98
23N2,649240,7536684,2.22
23N3,649246,7536785,2.27
23S1,649223,7536385,2.73
23S2,649217,7536285,3.15
23S3,649212,7536185,2.53
23S4,649206,7536085,2.61
24C,649129,7536490,2.63
24N1,649134,7536590,2.76
24N2,649141,7536690,2.14
24N3,649147,7536790,3.08
24N4,649151,7536889,2.47
24S1,649123,7536391,2.69
24S2,649117,7536291,1.98
